Date,Company,Sector,Open,High,Low,Close,Volume,Market_Cap,PE_Ratio,Dividend_Yield,Volatility,Sentiment_Score,Trend,Company_Encoded,Sector_Encoded,Trend_Encoded,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,Daily_Return,Price_Range,ATR,RSI,BB_Middle,BB_Upper,BB_Lower,Close_Lag1,Close_Lag2,Close_Lag3,Volume_Lag1,Year,Month,Day,DayOfWeek,Quarter,DayOfYear
2022-03-01,AMD,Technology,94.8991052347836,96.22558918008023,92.10962807949193,94.8991052347836,149299,848279967371.4166,23.34557097541568,2.7335026027838416,0.0143045673903943,-0.2054570543190805,Bullish,0,6,1,94.8991052347836,94.8991052347836,94.8991052347836,94.8991052347836,94.8991052347836,0.0,0.0,4.115961100588308,4.115961100588308,0.0,94.8991052347836,104.01280668949666,90.54647205053804,94.8991052347836,94.8991052347836,94.8991052347836,149299.0,2022,3,1,1,1,60
2022-06-07,AMD,Aerospace,99.66017350525108,100.78179329001942,97.10811374364413,99.66017350525108,168451,690869672213.195,6.560821793053654,1.5827483263393498,0.0321104947213433,0.2282663523750361,Bullish,0,0,1,97.27963937001735,97.27963937001735,97.27963937001735,95.63157727639398,95.25177695852193,0.3798003178720535,0.05016979094469254,3.673679546375297,3.673679546375297,99.99999999579926,97.27963937001735,104.01280668949666,90.54647205053804,94.8991052347836,94.8991052347836,94.8991052347836,149299.0,2022,6,7,1,2,158
2022-06-13,AMD,Consumer Goods,97.9678192487803,99.2679417269822,96.94210004832148,97.9678192487803,143264,759276809693.311,17.992248286149938,4.253401303024232,0.0393562150800747,0.7028114957829479,Bullish,0,2,1,97.50903266293834,97.50903266293834,97.50903266293834,95.99099911829957,95.45296527631885,0.5380338419807202,-0.016981249349135474,2.3258416786607228,2.3258416786607228,73.77586467292693,97.50903266293834,102.33595989152774,92.68210543434894,99.66017350525108,94.8991052347836,94.8991052347836,168451.0,2022,6,13,0,2,164
2022-07-17,AMD,Consumer Goods,87.50259292096464,89.45645735576139,85.34775535530109,87.50259292096464,192483,572855331674.0322,19.62964768546695,2.250582632374055,0.0404670350485465,-0.7517852645724452,Stable,0,2,2,95.0074227274449,95.0074227274449,95.0074227274449,94.68509047255574,94.86404880555187,-0.17895833299613173,-0.10682310179060095,4.108702000460298,4.108702000460298,28.140948554630697,95.0074227274449,105.76203355055154,84.25281190433827,97.9678192487803,99.66017350525108,94.8991052347836,143264.0,2022,7,17,6,3,198
2022-09-12,AMD,Finance,97.23406874836796,100.08859332369089,95.8903575083884,97.23406874836796,141412,384706520879.7583,31.511865967629607,1.073339319862684,0.0111137563030965,0.8875562227367382,Stable,0,4,2,95.45275193162952,95.45275193162952,95.45275193162952,95.07724097652685,95.03960583835305,0.0376351381737976,0.1112135709646127,4.198235815302482,4.198235815302482,54.38077408809245,95.45275193162952,104.97706830968815,85.92843555357089,87.50259292096464,97.9678192487803,99.66017350525108,192483.0,2022,9,12,0,3,255
2022-09-16,AMD,Technology,97.04104931570588,98.9354046594313,95.35776759134852,97.04104931570588,136416,800968917442.7452,11.85442844054216,1.6352232207590889,0.0293085389230773,0.2334254152935519,Stable,0,6,2,95.88114074781397,95.71746816230892,95.71746816230892,95.37936533640055,95.18786091074956,0.19150442565099013,-0.00198510085144743,3.5776370680827796,3.5776370680827796,53.989741423568724,95.71746816230892,104.33442089296301,87.10051543165483,97.23406874836796,87.50259292096464,97.9678192487803,141412.0,2022,9,16,4,3,259
2022-10-28,AMD,Technology,108.8095058184962,111.57851405984546,105.67428807462028,108.8095058184962,76641,662449898096.458,8.876195586163533,1.0310870254206994,0.0425373792929705,-0.929569652948953,Bullish,0,6,1,97.711007210463,97.58775925604995,97.58775925604995,97.4455407951845,96.19687164465671,1.248669150527789,0.12127297247687152,5.904225985225182,5.904225985225182,68.01324001110729,97.58775925604995,110.22976256556397,84.94575594653593,97.04104931570588,97.23406874836796,87.50259292096464,136416.0,2022,10,28,4,4,301
2023-02-18,AMD,Energy,112.31933327659026,115.00971014088904,109.99322740380109,112.31933327659026,199143,248292415647.7718,38.45385693022633,2.1954778262541423,0.0124441867047852,0.9936183613622178,Bullish,0,3,1,100.58131001602499,99.42920600861748,99.42920600861748,99.73381656155462,97.39112806183698,2.3426884997176387,0.03225662529842532,5.016482737087955,5.016482737087955,70.67858194333641,99.42920600861748,115.09759521380147,83.7608168034335,108.8095058184962,97.04104931570588,97.23406874836796,76641.0,2023,2,18,5,1,49
2023-03-25,AMD,Technology,110.76211244634476,112.79877921387646,109.2971666337144,110.76211244634476,57543,358443549577.3431,21.44103170467393,1.0397817964469498,0.0218187169850703,0.922829080847278,Stable,0,6,2,105.23321392110101,100.68841783503164,100.68841783503164,101.43047746690695,98.3815713495783,3.048906117328656,-0.013864227865480583,3.5016125801620603,3.5016125801620603,68.15876590470006,100.68841783503164,117.17760329113013,84.19923237893316,112.31933327659026,108.8095058184962,97.04104931570588,199143.0,2023,3,25,5,1,84
2023-06-28,AMD,Healthcare,123.08945437205324,125.49947341716546,120.31595000424392,123.08945437205324,178148,10021373725.420702,36.13782115561482,2.0762048616702025,0.0180736734145503,-0.6358737422362892,Bullish,0,5,1,110.40429104583806,102.92852148873381,102.92852148873381,104.76262776000638,100.21178490679866,4.550842853207726,0.11129565564831645,5.183523412921545,5.183523412921545,75.1672622135198,102.92852148873381,123.96195802467606,81.89508495279155,110.76211244634476,112.31933327659026,108.8095058184962,57543.0,2023,6,28,2,2,179
